,condition,sujet,ERD,Baseline
252,3,18,-0.04913160450615082,1.97e-10
253,3,18,-0.0842668723324016,4.31e-11
254,3,18,-0.009502106674723315,
255,1,19,-0.12606614735577715,7.85e-11
256,1,19,-0.12269265744356891,6.73e-11
257,1,19,-0.26738289510556057,6.32e-11
258,1,19,-0.3090659512605235,7.75e-11
259,1,19,0.21981729828570082,8.24e-11
260,2,19,0.07566280414645922,4.12e-11
261,2,19,0.36310436484639663,8.93e-11
262,2,19,0.28265447581871705,4.73e-11
263,2,19,-0.02068291750622625,6.74e-11
264,2,19,-0.071961980002093,8.49e-11
265,3,19,0.14617727262425784,
266,3,19,0.11436736452690083,1.75e-10
267,3,19,0.14985422478439991,6.69e-11
268,3,19,0.1611302280807175,2.28e-10
269,3,19,0.18406018872695717,3.52e-10
270,1,20,-0.09268943088994464,8.63e-11
271,1,20,0.12927130802097359,8.28e-11
272,1,20,0.04084398706640769,7.78e-11
273,1,20,0.035318537446030945,1.18e-10
274,1,20,0.025547641708798408,1.77e-10
275,2,20,0.8247867820583357,2.45e-10
276,2,20,0.4642363469180849,2.76e-10
277,2,20,0.44444136664021283,1.71e-10
278,2,20,0.2469594701993885,1.93e-10
279,2,20,0.41044246539493273,1.98e-10
280,3,20,-0.013583749490938808,3.11e-11
281,3,20,-0.01974405819575738,2.76e-11
282,3,20,-0.022276394711152253,3.32e-11
283,3,20,-0.014723256820706198,2.85e-11
284,3,20,-0.028783074602586597,3.72e-11
285,1,21,0.749908007400474,1.16e-10
286,1,21,0.8508121011387744,1.83e-10
287,1,21,0.6035465615556276,1.77e-10
288,1,21,0.6539323899196552,1.22e-10
289,1,21,0.6504053444221713,1.55e-10
290,2,21,0.02213444521425239,4.01e-11
291,2,21,0.10489752172499622,1.28e-10
292,2,21,0.07537995716747575,7.48e-11
293,2,21,0.1137249492436963,1.13e-10
294,2,21,0.08598740532710654,1.52e-10
295,3,21,0.08401632164426867,3.07e-11
296,3,21,0.14294032230151024,5.92e-11
297,3,21,0.07599353267089805,3.94e-11
298,3,21,0.2092215634798075,5.93e-11
299,3,21,0.18301522280011925,1.02e-10
300,1,22,0.06487378100774756,6.99e-11
301,1,22,0.0941992941110788,9.35e-11
302,1,22,0.07514126824588517,1.78e-10
303,1,22,0.039193721058285044,5.72e-11
304,1,22,0.006466042249231681,6.7e-11
305,2,22,0.19700194096648654,4.65e-11
306,2,22,0.2512325273015652,2.95e-11
307,2,22,0.21741747226429903,4.57e-11
308,2,22,0.22564860489513594,5.46e-11
309,2,22,0.25642859617565483,3.46e-11
310,3,22,-0.11644370816656742,4.89e-11
311,3,22,-0.07514662993925215,8.34e-11
312,3,22,-0.010747993533222132,5.15e-11
313,3,22,0.03088445119600865,
314,3,22,0.012212115591270877,4.77e-11
315,1,23,0.08198703464697048,5.46e-11
316,1,23,0.09439347899332438,5.27e-11
317,1,23,0.14853410544411716,5.62e-11
318,1,23,0.14440121637773068,7.61e-11
319,1,23,0.17753649992986212,5.72e-11
320,2,23,0.38520893186711613,3.43e-11
321,2,23,0.29174443436594133,3.14e-11
322,2,23,0.2525833665925251,3.99e-11
323,2,23,0.2674725905431396,3.68e-11
324,2,23,0.29410807621806984,4.66e-11
325,3,23,0.11365772619861121,9.16e-72
326,3,23,0.1076157711021174,2.89e-11
327,3,23,0.1918855262389144,6.23e-11
328,3,23,0.19473960758567108,8.07e-11
329,3,23,0.20191041967416828,9.13e-11
330,1,24,-0.035318340326213844,2.12e-10
331,1,24,-0.07443851346419578,9.17e-11
332,1,24,-0.01413637229639047,1.4e-10
333,1,24,-0.02197770523452073,1.62e-10
334,1,24,-0.030115313899713343,1.95e-10
335,2,24,-0.013943973493180916,2.3e-11
336,2,24,-0.15425616881559137,3.43e-11
337,2,24,-0.21314017545990868,4.37e-11
338,2,24,0.03210927847809509,2.25e-11
339,2,24,-0.1132351855272226,2.47e-11
340,3,24,-0.15261016320615814,2.36e-11
341,3,24,-0.07311156640864082,3.37e-11
342,3,24,-0.1157432330439013,2.32e-11
343,3,24,0.04163632863272476,2.44e-11
344,3,24,0.07182141934817156,3.1e-11
