"","num_sujet","FB_int","essai_tot","meanMvt","mvtMedian","stdDev_Mvt","LogmedianERD"
"361",12,"1",1,0.08375,0,0.10632497354808,0.0403164195077892
"362",12,"1",2,0.05375,0,0.176592751833137,0.0887499175938791
"363",12,"1",3,0.1275,0,0.218158963449438,0.0415727846467741
"364",12,"1",4,0.126875,0,0.198619191754808,0.0261363897530415
"365",12,"1",5,0.119375,0.005,0.180017360273947,0.00517370410839666
"366",12,"1",6,0,0,0,0.852324412395084
"367",12,"1",7,0.035,0,0.0959166304662544,0.26587694047866
"368",12,"1",8,0.019375,0,0.0395758764906098,0.227043887083322
"369",12,"1",9,0.09375,0,0.166648332324889,0.155827438950934
"370",12,"1",10,0.07375,0,0.193214043657977,0.0998821697899579
"371",12,"2",1,0,0,0,0.36809114123457
"372",12,"2",2,0.003125,0,0.0125,0.23017703881159
"373",12,"2",3,0.005,0,0.02,0.239479441412129
"374",12,"2",4,0,0,0,0.244558433616852
"375",12,"2",5,0.0375,0,0.119805397763762,0.191742474154652
"376",12,"2",6,0.035,0,0.0765070802823721,0.178338838963098
"377",12,"2",7,0.003125,0,0.0125,0.346228304696282
"378",12,"2",8,0,0,0,0.484936824822132
"379",12,"2",9,0.034375,0,0.0968826609874027,0.229559858684974
"380",12,"2",10,0.026875,0,0.1075,0.267364179748339
"381",12,"4",1,0.079375,0,0.173722719680914,0.0680822578373826
"382",12,"4",2,0,0,0,0.228368663879072
"383",12,"4",3,0.096875,0,0.256533785949012,0.172026721103453
"384",12,"4",4,0.07875,0,0.153964281572058,0.161367604966437
"385",12,"4",5,0.0775,0,0.169016764454496,0.197969023100685
"386",12,"4",6,0.07625,0,0.148453135141476,0.035271888898632
"387",12,"4",7,0.028125,0,0.104767599953421,0.252559627089545
"388",12,"4",8,0.055,0,0.1015217546473,0.173568161892183
"389",12,"4",9,0,0,0,0.321590888908723
"390",12,"4",10,0.0675,0,0.157162336455017,0.191359796334954
"391",13,"1",1,0.144375,0,0.254138249777557,0.00539727289189401
"392",13,"1",2,0.22375,0.11,0.27514541609847,-0.054480789605084
"393",13,"1",3,0.1325,0,0.206865495753481,0.109142206247423
"394",13,"1",4,0.03375,0,0.0758836829188814,0.277526097114852
"395",13,"1",5,0.008125,0,0.0325,0.286628517126959
"396",13,"1",6,0.238125,0.135,0.271544195297929,-0.0671803057874198
"397",13,"1",7,0.22125,0,0.284602061365222,0.124921723715967
"398",13,"1",8,0.091875,0,0.161336862909049,0.319527972435911
"399",13,"1",9,0.041875,0,0.114438848298993,0.306451052623972
"400",13,"1",10,0.080625,0,0.152335977365821,0.194274668566741
"401",13,"2",1,0.010625,0,0.0425,0.316547872005241
"402",13,"2",2,0,0,0,0.62969045543354
"403",13,"2",3,0,0,0,0.700426593259588
"404",13,"2",4,0.036875,0,0.0873093160359573,0.552780350051392
"405",13,"2",5,0.04125,0,0.110446065268679,0.522356078934406
"406",13,"2",6,0.09875,0,0.174885676943539,0.108751040969177
"407",13,"2",7,0.17125,0.115,0.207296084542537,-0.0582776637424713
"408",13,"2",8,0.031875,0,0.087118214704695,0.505383313714027
"409",13,"2",9,0.068125,0,0.126502635018669,0.054803502744776
"410",13,"2",10,0,0,0,0.434340207899118
"411",13,"4",1,0.004375,0,0.0175,0.267020119057154
"412",13,"4",2,0.028125,0,0.0785891213845784,0.241394101536694
"413",13,"4",3,0,0,0,0.323068455293856
"414",13,"4",4,0,0,0,0.61145665667051
"415",13,"4",5,0.03,0,0.102826715076061,0.421304506763482
"416",13,"4",6,0.22875,0.095,0.292252744498091,-0.0387868605708908
"417",13,"4",7,0.014375,0,0.0450138867462031,0.548778043779096
"418",13,"4",8,0.175625,0,0.288235291616647,0.0505057544571483
"419",13,"4",9,0.006875,0,0.0275,0.39911212020561
"420",13,"4",10,0.0425,0,0.17,0.522789474972193
"421",14,"1",1,0.035,0,0.0895916662791058,0.435982331431295
"422",14,"1",2,0.22625,0.195,0.228089894559141,-0.0973770384212561
"423",14,"1",3,0.134375,0,0.190821688145417,0.0132398164021893
"424",14,"1",4,0.069375,0,0.189647699696042,0.117240262879919
"425",14,"1",5,0.06125,0,0.120823562823372,0.150981473472012
"426",14,"1",6,0.14625,0.025,0.231915933044713,-0.00682976739298288
"427",14,"1",7,0.1275,0,0.202105582967583,0.0693976458720319
"428",14,"1",8,0.1375,0,0.235301225382841,0.181853230537049
"429",14,"1",9,0.016875,0,0.0428514877221317,0.283287819435241
"430",14,"1",10,0.03375,0,0.0585234995535981,0.042384421907262
"431",14,"2",1,0.110625,0,0.168383243426021,0.161729681913651
"432",14,"2",2,0.001875,0,0.0075,0.228396649503083
"433",14,"2",3,0.015625,0,0.0625,0.240751422760222
"434",14,"2",4,0,0,0,0.340517931066578
"435",14,"2",5,0,0,0,0.32200570055844
"436",14,"2",6,0.034375,0,0.0740242077521491,0.236421094656042
"437",14,"2",7,0.045,0,0.146287388383278,0.193793868713322
"438",14,"2",8,0.01125,0,0.0326343377441614,0.113320811725232
"439",14,"2",9,0.021875,0,0.0848699986253486,0.276336257561116
"440",14,"2",10,0.009375,0,0.0204837333836714,0.205179642451077
"441",14,"4",1,0.0375,0,0.0778460018241143,0.207359229893734
"442",14,"4",2,0.0075,0,0.03,0.282968255377
