,FB_int,essai,num_sujet,MoyenneBeta,MoyenneERD,MedianeERD,MedianeBeta,StdDevBeta,mvtMoyCond,mvtMedianCond,StdDevMvt
131,2,1,5,39.634375,2.20190972222222,2.23722222222222,40.27,18.1104501890038,0.008125,0,0.0459619407771256
132,2,1,6,25.3559375,0.804950396825397,0.766349206349206,24.14,12.4800229681796,0.504375,0.465,0.325208989876932
133,2,1,7,18.076875,0.573869047619048,0.541587301587302,17.06,5.37873917202212,0.78,0.915,0.262678510731274
134,2,1,8,23.309375,0.809353298611111,0.769444444444444,22.16,5.39577788197521,0.41375,0.46,0.282177592215234
135,2,1,9,96.6815625,3.35699869791667,1.03263888888889,29.74,293.533697753486,0.18625,0,0.269835672813252
136,2,1,10,34.6421875,1.09975198412698,0.972063492063492,30.62,11.7703053744952,0.175,0.055,0.243403289399142
137,2,1,11,118.2078125,4.10443793402778,3.15416666666667,90.84,84.4473423533527,0,0,0
138,2,1,12,10.18125,1.33088235294118,1.29869281045752,9.935,2.27758750407304,0.0175,0,0.0561104900778294
139,2,1,13,26.2846875,1.42387256229686,1.29035752979415,23.82,12.7015429553886,0.0546875,0,0.132956077515799
140,2,1,14,11.958125,1.32868055555556,1.20333333333333,10.83,6.27609619650161,0.0725,0,0.133682338930524
141,2,1,15,33.9571875,2.09612268518519,2.12283950617284,34.39,4.93824393129785,0,0,0
142,2,1,16,11.925625,0.88337962962963,0.792962962962963,10.705,5.31363792367065,0.3959375,0.415,0.303717391718449
143,2,1,17,10.9809375,1.22010416666667,1.15722222222222,10.415,3.14958200951768,0.0621875,0,0.135402253161793
144,2,1,18,23.5440625,2.01231303418803,1.55384615384615,18.18,14.6545969578139,0.031875,0,0.0982241511593139
145,2,1,19,15.77125,0.700944444444444,0.67,15.075,3.79274753588579,0.588125,0.66,0.321502897192585
146,2,1,20,18.3125,1.1968954248366,1.18104575163399,18.07,5.74954584461719,0.149375,0,0.251613342638161
147,2,1,21,23.375,1.62326388888889,1.61666666666667,23.28,16.2351367261298,0.3859375,0,0.458038309251459
148,2,1,22,43.745625,1.7359375,0.986904761904762,24.87,35.0550300967015,0.2675,0.025,0.313811120508561
149,2,1,23,7.6134375,0.5287109375,0.51875,7.47,1.81301852983254,0.86875,0.96,0.18003135927549
150,2,1,24,2.9578125,0.547743055555555,0.511111111111111,2.76,0.939003364503231,0.844375,0.98,0.242499584302936
151,2,2,0,20.6884375,0.966749415887851,0.762616822429907,16.32,11.6764165706544,0.451875,0.51,0.349427527213002
152,2,2,1,21.2521875,1.56958548744461,1.37001477104874,18.55,11.3187086731758,0.0246875,0,0.0601602363048722
153,2,2,2,5.4521875,2.52416087962963,2.3912037037037,5.165,1.4444615792856,0,0,0
154,2,2,3,30.0115625,1.49311256218905,0.896517412935323,18.02,27.668230309284,0.46,0.4,0.45154930427756
155,2,2,4,25.6215625,2.58803661616162,2.50050505050505,24.755,6.39792260103785,0,0,0
156,2,2,5,45.5621875,2.53123263888889,1.73861111111111,31.295,35.9865285488329,0.3503125,0.23,0.374669612523337
157,2,2,6,20.0740625,0.637271825396825,0.611269841269841,19.255,5.42890701254004,0.70125,0.775,0.311352408984811
158,2,2,7,16.793125,0.533115079365079,0.501587301587302,15.8,4.35337054253887,0.8634375,1,0.21273350548242
159,2,2,8,24.554375,0.852582465277778,0.793055555555556,22.84,9.15903958111259,0.423125,0.41,0.323712711141899
160,2,2,9,26.46375,0.918880208333333,0.788888888888889,22.72,13.894500826795,0.4009375,0.425,0.314718095823405
161,2,2,10,33.9296875,1.07713293650794,1.02079365079365,32.155,10.9624183476196,0.1690625,0,0.242584995081538
162,2,2,11,89.5121875,3.10806206597222,2.89027777777778,83.24,29.8068814023113,0,0,0
163,2,2,12,10.1584375,1.32790032679739,1.36470588235294,10.44,1.74859041733067,0.003125,0,0.0122967344209491
164,2,2,13,31.5034375,1.7065784127844,1.40845070422535,26,17.6879710555079,0.085625,0,0.168406909290487
165,2,2,14,12.4928125,1.38809027777778,1.25666666666667,11.31,6.14405048407046,0.0234375,0,0.104220899860546
166,2,2,15,37.40125,2.30871913580247,2.13240740740741,34.545,11.3284696315764,0,0,0
167,2,2,16,12.7465625,0.944189814814815,0.836296296296296,11.29,4.79148007934985,0.3296875,0.325,0.286643359111249
168,2,2,17,11.8753125,1.31947916666667,1.21388888888889,10.925,3.87403347727721,0.0365625,0,0.11915317804704
169,2,2,18,19.448125,1.66223290598291,1.48717948717949,17.4,8.82440400527917,0.0390625,0,0.112661622254574
170,2,2,19,19.9190625,0.885291666666667,0.818222222222222,18.41,6.66197701905518,0.369375,0.365,0.330892610003365
171,2,2,20,17.6440625,1.15320669934641,1.10947712418301,16.975,5.6963581231288,0.16125,0,0.20455695634003
172,2,2,21,23.540625,1.634765625,1.43888888888889,20.72,15.9100941659994,0.2853125,0,0.387056588135837
173,2,2,22,39.9534375,1.58545386904762,1.40595238095238,35.43,21.76532572537,0.0775,0,0.194256232515118
174,2,2,23,9.049375,0.628428819444444,0.576041666666667,8.295,3.11562445198494,0.7453125,0.845,0.305434480329568
175,2,2,24,03.01,0.557407407407407,0.532407407407407,2.875,0.807505118329929,0.8275,0.935,0.241594167842446
176,2,3,0,21.26,0.993457943925234,0.860046728971963,18.405,6.37932952286448,0.256875,0.305,0.270655566142415
177,2,3,1,31.1009375,2.29696731905465,1.85155096011817,25.07,25.6232480577351,0.00875,0,0.0279111493504749
178,2,3,2,5.606875,2.59577546296296,2.48148148148148,5.36,1.1712288487435,0,0,0
